seed,elapsed_time,from_state,to_state,pos_xyz,target_xyz,discovered_xyz,attack_retry_started_at
9,0.08,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,2.9409 -0.1982 8.2844,2.9409 -0.1982 8.2532,3.0027 -0.1811 8.7459,0.035
9,0.083,VISUAL_CHECK_MIC,SURFACE,2.9409 -0.1982 8.2844,,3.0027 -0.1811 8.7459,0.035
9,0.093,SURFACE,RETURN_HOME,2.9409 -0.1982 4.3157,2.9409 -0.1982 4.2844,3.0027 -0.1811 8.7459,0.035
9,0.095,RETURN_HOME,DONE,2.9409 -0.1982 4.3157,,3.0027 -0.1811 8.7459,0.035
10,0,,INIT,,,,
10,0.021,INIT,DESCEND_TO_7M,,,,
10,0.033,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
10,0.034,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,-0.8124 -2.8701 10.9874,0.034
10,0.036,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,-0.8124 -2.8701 10.9874,0.034
10,0.045,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-0.8124 -2.8701 10.9874,0.034
10,0.053,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-0.7870 -2.7804 10.9389,-0.8124 -2.8701 10.9874,-0.8124 -2.8701 10.9874,0.034
10,0.06,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-0.7870 -2.7804 10.4702,-0.7870 -2.7804 10.4389,-0.8124 -2.8701 10.9874,0.034
10,0.061,HYDRO_CHECK_MIC,HOLD_TARGET,-0.7870 -2.7804 10.4702,,-0.8124 -2.8701 10.9874,0.034
10,0.063,HOLD_TARGET,HYDRO_DIVE,-0.7870 -2.7804 10.4702,,-0.8124 -2.8701 10.9874,0.034
10,0.072,HYDRO_DIVE,HYDRO_APPROACH,-0.7870 -2.7804 12.9311,-0.7870 -2.7804 12.9702,-0.8124 -2.8701 10.9874,0.034
10,0.083,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-0.8120 -2.8687 11.0178,-0.8124 -2.8701 10.9874,-0.8124 -2.8701 10.9874,0.034
10,0.089,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-0.8120 -2.8687 10.5490,-0.8120 -2.8687 10.5178,-0.8124 -2.8701 10.9874,0.034
10,0.091,HYDRO_CHECK_MIC,HOLD_TARGET,-0.8120 -2.8687 10.5490,,-0.8124 -2.8701 10.9874,0.034
10,0.092,HOLD_TARGET,HYDRO_DIVE,-0.8120 -2.8687 10.5490,,-0.8124 -2.8701 10.9874,0.034
10,0.102,HYDRO_DIVE,HYDRO_APPROACH,-0.8120 -2.8687 13.0100,-0.8120 -2.8687 13.0490,-0.8124 -2.8701 10.9874,0.034
10,0.112,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-0.8124 -2.8701 11.0190,-0.8124 -2.8701 10.9874,-0.8124 -2.8701 10.9874,0.034
